image URN	folio URN
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0103	urn:cite:ogl:modena_alfa_t_8_21.folio.52r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0104	urn:cite:ogl:modena_alfa_t_8_21.folio.52v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0105	urn:cite:ogl:modena_alfa_t_8_21.folio.53r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0106	urn:cite:ogl:modena_alfa_t_8_21.folio.53v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0107	urn:cite:ogl:modena_alfa_t_8_21.folio.54r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0108	urn:cite:ogl:modena_alfa_t_8_21.folio.54v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0109	urn:cite:ogl:modena_alfa_t_8_21.folio.55r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0110	urn:cite:ogl:modena_alfa_t_8_21.folio.55v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0111	urn:cite:ogl:modena_alfa_t_8_21.folio.56r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0112	urn:cite:ogl:modena_alfa_t_8_21.folio.56v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0113	urn:cite:ogl:modena_alfa_t_8_21.folio.57r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0114	urn:cite:ogl:modena_alfa_t_8_21.folio.57v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0115	urn:cite:ogl:modena_alfa_t_8_21.folio.58r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0116	urn:cite:ogl:modena_alfa_t_8_21.folio.58v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0117	urn:cite:ogl:modena_alfa_t_8_21.folio.59r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0118	urn:cite:ogl:modena_alfa_t_8_21.folio.59v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0119	urn:cite:ogl:modena_alfa_t_8_21.folio.60r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0120	urn:cite:ogl:modena_alfa_t_8_21.folio.60v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0121	urn:cite:ogl:modena_alfa_t_8_21.folio.61r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0122	urn:cite:ogl:modena_alfa_t_8_21.folio.61v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0123	urn:cite:ogl:modena_alfa_t_8_21.folio.62r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0124	urn:cite:ogl:modena_alfa_t_8_21.folio.62v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0125	urn:cite:ogl:modena_alfa_t_8_21.folio.63r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0126	urn:cite:ogl:modena_alfa_t_8_21.folio.63v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0127	urn:cite:ogl:modena_alfa_t_8_21.folio.64r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0128	urn:cite:ogl:modena_alfa_t_8_21.folio.64v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0129	urn:cite:ogl:modena_alfa_t_8_21.folio.65r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0130	urn:cite:ogl:modena_alfa_t_8_21.folio.65v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0131	urn:cite:ogl:modena_alfa_t_8_21.folio.66r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0132	urn:cite:ogl:modena_alfa_t_8_21.folio.66v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0133	urn:cite:ogl:modena_alfa_t_8_21.folio.67r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0134	urn:cite:ogl:modena_alfa_t_8_21.folio.67v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0135	urn:cite:ogl:modena_alfa_t_8_21.folio.68r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0136	urn:cite:ogl:modena_alfa_t_8_21.folio.68v
