image URN	page URN
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0208	urn:cite:ogl:1883grclat1_v2.page.181
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0209	urn:cite:ogl:1883grclat1_v2.page.182
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0210	urn:cite:ogl:1883grclat1_v2.page.183
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0211	urn:cite:ogl:1883grclat1_v2.page.184
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0212	urn:cite:ogl:1883grclat1_v2.page.185
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0213	urn:cite:ogl:1883grclat1_v2.page.186
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0214	urn:cite:ogl:1883grclat1_v2.page.187
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0215	urn:cite:ogl:1883grclat1_v2.page.188
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0216	urn:cite:ogl:1883grclat1_v2.page.189
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0217	urn:cite:ogl:1883grclat1_v2.page.190
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0218	urn:cite:ogl:1883grclat1_v2.page.191
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0219	urn:cite:ogl:1883grclat1_v2.page.192
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0220	urn:cite:ogl:1883grclat1_v2.page.193
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0221	urn:cite:ogl:1883grclat1_v2.page.194
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0222	urn:cite:ogl:1883grclat1_v2.page.195
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0223	urn:cite:ogl:1883grclat1_v2.page.196
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0224	urn:cite:ogl:1883grclat1_v2.page.197
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0225	urn:cite:ogl:1883grclat1_v2.page.198
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0226	urn:cite:ogl:1883grclat1_v2.page.199
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0227	urn:cite:ogl:1883grclat1_v2.page.200
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0228	urn:cite:ogl:1883grclat1_v2.page.201
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0229	urn:cite:ogl:1883grclat1_v2.page.202
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0230	urn:cite:ogl:1883grclat1_v2.page.203
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0231	urn:cite:ogl:1883grclat1_v2.page.204
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0232	urn:cite:ogl:1883grclat1_v2.page.205
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0233	urn:cite:ogl:1883grclat1_v2.page.206
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0234	urn:cite:ogl:1883grclat1_v2.page.207
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0235	urn:cite:ogl:1883grclat1_v2.page.208
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0236	urn:cite:ogl:1883grclat1_v2.page.209
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0237	urn:cite:ogl:1883grclat1_v2.page.210
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0238	urn:cite:ogl:1883grclat1_v2.page.211
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0239	urn:cite:ogl:1883grclat1_v2.page.212
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0240	urn:cite:ogl:1883grclat1_v2.page.213
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0241	urn:cite:ogl:1883grclat1_v2.page.214
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0242	urn:cite:ogl:1883grclat1_v2.page.215
