primary id	primary id type	additional ids (id|type;etc)	primary title	other titles (title|type;etc)	author	author term of address	author date(s)	authority;authorityURI;valueURI	editor or translator	name	term of address	date(s)	authority;authorityURI;valueURI	editor or translator	name	term of address	date(s)	authority;authorityURI;valueURI	editor or translator	name	term of address	date(s)	authority;authorityURI;valueURI	manuscript? (t/f)	country code	city	publisher	dateIssued	dateCreated	dateModified	edition	text language code	other languages (lang code|objectPart;)	extent desc.	page start	page end	page range	Topics, ; separated	series title	online location (label|url;etc)	physical location (type|name;etc.)	shelf locator	notes	table of contents	multivolume? (t/f)
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1573_lat1|cts urn;urn:cite:ogl:1573grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f		Paris	apud Hieronymum de Marnef et Gulielmum Cavellat	1573				lat	grc|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=GRpaAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/560836362				1-15(selections)	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1574_lat1|cts urn;urn:cite:ogl:1574lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Christophorus Clavius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/46873973/											f		Rome	Vincentium Accoltum	1574				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=a5qqC62sUecC;WorldCat|http://www.worldcat.org/oclc/31861073				10-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1574_lat2|cts urn;urn:cite:ogl:1574lat1_v1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Christophorus Clavius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/46873973/											f		Rome	Vincentium Accoltum	1574				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=9E2xEit4CKkC;HathiTrust|babel.hathitrust.org/cgi/pt?id=ucm.5320234064;WorldCat|http://www.worldcat.org/oclc/31861073;Google Books|https://books.google.de/books?id=LNHQy3fWWZQC;HathiTrust|babel.hathitrust.org/cgi/pt?id=ucm.5316864701;WorldCat|http://www.worldcat.org/oclc/31861073				1-9	t
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1574_lat2|cts urn;urn:cite:ogl:1574lat1_v2|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Christophorus Clavius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/46873973/											f		Rome	apud Vincentinum Accoltum	1574				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=8EJr3XLz-5oC;WorldCat|http://www.worldcat.org/oclc/31861073;Google Books|https://books.google.de/books?id=a5qqC62sUecC;WorldCat|http://www.worldcat.org/oclc/31861073;Google Books|https://books.google.de/books?id=cig5ckrejdwC;WorldCat|http://www.worldcat.org/oclc/31861073;Google Books|https://books.google.de/books?id=a5qqC62sUecC;WorldCat|http://www.worldcat.org/oclc/31861073;Google Books|https://books.google.de/books?id=a5qqC62sUecC;WorldCat|http://www.worldcat.org/oclc/31861073				10-15	t
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1575_ita1|cts urn;urn:cite:ogl:1575ita1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Federico Commandino			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/17338797/											f		Urbino	ap. Domenico Frisolino	1575				ita						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=TchCAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/13482610				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1575_lat1|cts urn;urn:cite:ogl:1575lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Elie Vinet			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/24739026/											f		Bordeaux	apud Simonem Millangium Burdigalensium Typographum	1575				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=dUAUWfQ5hlIC;WorldCat|http://www.worldcat.org/oclc/730561431				5-6(selections)	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1576_spa1|cts urn;urn:cite:ogl:1576spa1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Rodrigo Zamorano			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/5189549/											f		Seville	en casa de Alonso de la Barrera	1576				spa						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=OC7LiH_uevwC;WorldCat|http://www.worldcat.org/oclc/23621006;Google Books|https://books.google.de/books?id=zWy8BnTDHHoC;WorldCat|http://www.worldcat.org/oclc/23621006				1-6	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1577_grc1|cts urn;urn:cite:ogl:1577grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Joachim Camerarius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/2495607/											f		Leipzig	impres. Ioh. Steinmann	1577				grc	lat|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=7d5RAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/632862514				1-6	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1577_lat1|cts urn;urn:cite:ogl:1577grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Joachim Camerarius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/2495607/											f		Leipzig	impres. Ioh. Steinmann	1577				lat	grc|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=7d5RAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/632862514				1-6	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1578_lat1|cts urn;urn:cite:ogl:1578lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	François de Foix de Candale			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/56867562/											f		Paris	apud Iacobum du Puys	1578				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=vMdCAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/18239097				1-15	f
