Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 7.Prop.2	7.prop.2	99	https://archive.org/stream/gri_000033125009354198#page/n103/mode/2up			
Euc. 7.Prop.3	7.prop.3	99	https://archive.org/stream/gri_000033125009354198#page/n103/mode/2up			
Euc. 7.Prop.4	7.prop.4	100	https://archive.org/stream/gri_000033125009354198#page/n105/mode/2up			
Euc. 7.Prop.5	7.prop.					
Euc. 7.Prop.6	7.prop.					
Euc. 7.Prop.7	7.prop.					
Euc. 7.Prop.8	7.prop.					
Euc. 7.Prop.9	7.prop.					
Euc. 7.Prop.10	7.prop.					
Euc. 7.Prop.11	7.prop.					
Euc. 7.Prop.12	7.prop.					
Euc. 7.Prop.13	7.prop.					
Euc. 7.Prop.14	7.prop.					
Euc. 7.Prop.15	7.prop.					
Euc. 7.Prop.16	7.prop.					
Euc. 7.Prop.17	7.prop.					
Euc. 7.Prop.18	7.prop.					
Euc. 7.Prop.19	7.prop.					
Euc. 7.Prop.20	7.prop.					
Euc. 7.Prop.21	7.prop.					
Euc. 7.Prop.22	7.prop.					
Euc. 7.Prop.23	7.prop.					
Euc. 7.Prop.24	7.prop.					
Euc. 7.Prop.25	7.prop.					
Euc. 7.Prop.26	7.prop.					
Euc. 7.Prop.27	7.prop.					
Euc. 7.Prop.28	7.prop.					
Euc. 7.Prop.29	7.prop.					
Euc. 7.Prop.30	7.prop.					
Euc. 7.Prop.31	7.prop.					
Euc. 7.Prop.32	7.prop.					
Euc. 7.Prop.33	7.prop.					
Euc. 7.Prop.34	7.prop.					
Euc. 7.Prop.35	7.prop.					
Euc. 7.Prop.36	7.prop.					
Euc. 7.Prop.37	7.prop.					
Euc. 7.Prop.38	7.prop.					
Euc. 7.Prop.39	7.prop.					
Euc. 8.Prop.1	8.prop.					
Euc. 8.Prop.2	8.prop.					
Euc. 8.Prop.3	8.prop.					
Euc. 8.Prop.4	8.prop.					
Euc. 8.Prop.5	8.prop.					
Euc. 8.Prop.6	8.prop.					
Euc. 8.Prop.7	8.prop.					
Euc. 8.Prop.8	8.prop.					
Euc. 8.Prop.9	8.prop.					
Euc. 8.Prop.10	8.prop.					
Euc. 8.Prop.11	8.prop.					
Euc. 8.Prop.12	8.prop.					
Euc. 8.Prop.13	8.prop.					
Euc. 8.Prop.14	8.prop.					
Euc. 8.Prop.15	8.prop.					
Euc. 8.Prop.16	8.prop.					
Euc. 8.Prop.17	8.prop.					
Euc. 8.Prop.18	8.prop.					
Euc. 8.Prop.19	8.prop.					
Euc. 8.Prop.20	8.prop.					
Euc. 8.Prop.21	8.prop.					
Euc. 8.Prop.22	8.prop.					
Euc. 8.Prop.23	8.prop.					
