Current Perseus ID	Numbering in work	Folio	Link	Temp PNG File	PDF Page	Coords
Euc. 10.Prop 1.39	10.prop.40	131v			259	
Euc. 10.Prop 1.40	10.prop.41	132r			260	
Euc. 10.Prop 1.41	10.prop.42	132v			261	
Euc. 10.Prop 1.42	10.prop.	133r			262	
Euc. 10.Prop 1.43	10.prop.	133r			262	
Euc. 10.Prop 1.44	10.prop.	133v			263	
Euc. 10.Prop 1.45	10.prop.	134r			264	
Euc. 10.Prop 1.46	10.prop.	134r			264	
Euc. 10.Prop 1.47	10.prop.	134v			265	
Euc. 10.Prop 2.48	10.prop.	135r			266	
Euc. 10.Prop 2.49	10.prop.50	135v			267	
Euc. 10.Prop 2.50	10.prop.	136r			268	
Euc. 10.Prop 2.51	10.prop.	136v			269	
Euc. 10.Prop 2.52	10.prop.	137r			270	
Euc. 10.Prop 2.53	10.prop.	137v			271	
Euc. 10.Prop 2.54	10.prop.	138r			272	
Euc. 10.Prop 2.55	10.prop.	139r			274	
Euc. 10.Prop 2.56	10.prop.	139v			275	
Euc. 10.Prop 2.57	10.prop.	140r			276	
Euc. 10.Prop 2.58	10.prop.	140v			277	
Euc. 10.Prop 2.59	10.prop.	140v			277	
Euc. 10.Prop 2.60	10.prop.	141r			278	
Euc. 10.Prop 2.61	10.prop.	142r			280	
Euc. 10.Prop 2.62	10.prop.	142r			280	
Euc. 10.Prop 2.62	10.prop.	142v			281	
Euc. 10.Prop 2.63	10.prop.	142v			281	
Euc. 10.Prop 2.64	10.prop.	143r			282	
Euc. 10.Prop 2.65	10.prop.	143v			283	
Euc. 10.Prop 2.66	10.prop.	144r			284	
Euc. 10.Prop 2.67	10.prop.	144v			285	
Euc. 10.Prop 2.68	10.prop.	144v			285	
Euc. 10.Prop 2.69	10.prop.	145r			286	
Euc. 10.Prop 2.70	10.prop.	145v			287	
Euc. 10.Prop 2.71	10.prop.	145v			287	
Euc. 10.Prop 2.72	10.prop.	146v			289	
Euc. 10.Prop 2.73	10.prop.	147r			290	
Euc. 10.Prop 2.74	10.prop.	147v			291	
Euc. 10.Prop 2.75	10.prop.	147v			291	
Euc. 10.Prop 2.76	10.prop.	148r			292	
Euc. 10.Prop 2.77	10.prop.	148r			292	
Euc. 10.Prop 2.78	10.prop.	148r			292	
Euc. 10.Prop 2.78	10.prop.	148v			293	
Euc. 10.Prop 2.79	10.prop.	148v			293	
Euc. 10.Prop 2.80	10.prop.	149r			294	
Euc. 10.Prop 2.81	10.prop.	149r			294	
Euc. 10.Prop 2.82	10.prop.	150r			296	
Euc. 10.Prop 2.83	10.prop.	150r			296	
Euc. 10.Prop 2.84	10.prop.	150v			297	
Euc. 10.Prop 3.85	10.prop.	151r			298	
Euc. 10.Prop 3.86	10.prop.	151v			299	
Euc. 10.Prop 3.87	10.prop.	152r			300	
Euc. 10.Prop 3.88	10.prop.	152v			301	
Euc. 10.Prop 3.89	10.prop.	153r			302	
Euc. 10.Prop 3.90	10.prop.	153v			303	
Euc. 10.Prop 3.91	10.prop.	154r			304	
Euc. 10.Prop 3.92	10.prop.	155r			306	
Euc. 10.Prop 3.93	10.prop.	155v			307	
Euc. 10.Prop 3.94	10.prop.	156v			309	
Euc. 10.Prop 3.95	10.prop.	157r			310	
Euc. 10.Prop 3.96	10.prop.	157v			311	
Euc. 10.Prop 3.96	10.prop.	158r			312	
Euc. 10.Prop 3.97	10.prop.	158v			313	
Euc. 10.Prop 3.98	10.prop.	159r			314	
Euc. 10.Prop 3.99	10.prop.	159v			315	
Euc. 10.Prop 3.100	10.prop.	160v			317	
Euc. 10.Prop 3.101	10.prop.	161r			318	
Euc. 10.Prop 3.102	10.prop.	161v			319	
Euc. 10.Prop 3.103	10.prop.	162v			321	
Euc. 10.Prop 3.104	10.prop.	162v			321	
Euc. 10.Prop 3.104	10.prop.	163r			322	
Euc. 10.Prop 3.105	10.prop.	163r			322	
Euc. 10.Prop 3.106	10.prop.	163v			323	
Euc. 10.Prop 3.107	10.prop.	163v			323	
Euc. 10.Prop 3.108	10.prop.	164r			324	
Euc. 10.Prop 3.109	10.prop.	164r			324	
Euc. 10.Prop 3.110	10.prop.	164v			325	
Euc. 10.Prop 3.111	10.prop.	165r			326	
Euc. 10.Prop 3.112	10.prop.	165v			327	
Euc. 10.Prop 3.113	10.prop.	166r			328	
Euc. 10.Prop 3.114	10.prop.	167r			330	
Euc. 10.Prop 3.115	10.prop.	167v			331	
		168r			332	
		168r			332	
		168v			333	
						
Euc. 11.Prop.1	11.prop.1	169v			337	
Euc. 11.Prop.2	11.prop.2	169v			337	
Euc. 11.Prop.3	11.prop.3	170r			338	
Euc. 11.Prop.4	11.prop.4	170r			338	
Euc. 11.Prop.5	11.prop.5	171r			340	
Euc. 11.Prop.6	11.prop.6	171r			340	
Euc. 11.Prop.7	11.prop.7	171v			341	
Euc. 11.Prop.8	11.prop.8	172r			342	
Euc. 11.Prop.9	11.prop.9	172v			343	
Euc. 11.Prop.10	11.prop.10	173r			344	
Euc. 11.Prop.11	11.prop.11	173r			344	
Euc. 11.Prop.12	11.prop.12	173v			345	
Euc. 11.Prop.13	11.prop.13	173v			345	
Euc. 11.Prop.14	11.prop.14	174r			346	
Euc. 11.Prop.15	11.prop.15	174r			346	
Euc. 11.Prop.16	11.prop.16	174v			347	
Euc. 11.Prop.17	11.prop.17	174v			347	
Euc. 11.Prop.17	11.prop.17	175r			348	
Euc. 11.Prop.18	11.prop.18	175r			348	
Euc. 11.Prop.19	11.prop.19	175v			349	
Euc. 11.Prop.20	11.prop.20	175v			349	
Euc. 11.Prop.21	11.prop.21	176r			350	
Euc. 11.Prop.22	11.prop.22	176v			351	
Euc. 11.Prop.23	11.prop.23	177v			353	
Euc. 11.Prop.24	11.prop.24	178v			355	
Euc. 11.Prop.25	11.prop.25	179r			356	
Euc. 11.Prop.26	11.prop.26	179v			357	
Euc. 11.Prop.27	11.prop.27	180r			358	
Euc. 11.Prop.28	11.prop.28	180v			359	
Euc. 11.Prop.29	11.prop.29	181r			360	
Euc. 11.Prop.30	11.prop.30	181r			360	
Euc. 11.Prop.30	11.prop.30	181v			361	
Euc. 11.Prop.31	11.prop.31	181v			361	
Euc. 11.Prop.32	11.prop.32	182v			363	
Euc. 11.Prop.33	11.prop.33	183r			364	
Euc. 11.Prop.34	11.prop.34	183v			365	
Euc. 11.Prop.35	11.prop.35	185r			368	
Euc. 11.Prop.36	11.prop.36	186r			370	
Euc. 11.Prop.37	11.prop.37	186v			371	
	11.prop.38	186v			371	
Euc. 11.Prop.38	11.prop.39	187r			372	
Euc. 11.Prop.39	11.prop.40	187v			373	
Euc. 12.Prop.1	12.prop.1	188r			374	
Euc. 12.Prop.2	12.prop.2	188r			374	
Euc. 12.Prop.3	12.prop.3	189v			377	
Euc. 12.Prop.4	12.prop.4	190v			379	
Euc. 12.Prop.5	12.prop.5	191v			381	
Euc. 12.Prop.6	12.prop.6	192r			382	
	12.prop.7	192v			383	
Euc. 12.Prop.8	12.prop.8	193r			384	
Euc. 12.Prop.9	12.prop.9	194r			386	
Euc. 12.Prop.10	12.prop.10	194v			387	
Euc. 12.Prop.11	12.prop.11	196r			390	
Euc. 12.Prop.12	12.prop.12	197r			392	
Euc. 12.Prop.13	12.prop.13	198v			395	
Euc. 12.Prop.14	12.prop.14	199r			396	
Euc. 12.Prop.15	12.prop.15	199r			396	
Euc. 12.Prop.16	12.prop.16	199v			397	
Euc. 12.Prop.17	12.prop.17	200r			398	
Euc. 12.Prop.18	12.prop.18	202r			402	
Euc. 13.Prop.1	13.prop.1	203r			404	
Euc. 13.Prop.2	13.prop.2	203r			404	
Euc. 13.Prop.3	13.prop.3	203v			405	
Euc. 13.Prop.4	13.prop.4	204r			406	
	13.prop.5	204r			406	
	13.prop.5	204v			407	
	13.prop.6	204v			407	
Euc. 13.Prop.6	13.prop.	206r			410	
Euc. 13.Prop.7	13.prop.	206v			411	
Euc. 13.Prop.8	13.prop.8	207r			412	
Euc. 13.Prop.9	13.prop.	207r			412	
Euc. 13.Prop.9	13.prop.	207v			413	
Euc. 13.Prop.10	13.prop.10	207v			413	
Euc. 13.Prop.11	13.prop.11	208r			414	
Euc. 13.Prop.12	13.prop.12	209r			416	
Euc. 13.Prop.13	13.prop.13	209v			417	
Euc. 13.Prop.14	13.prop.14	210v			419	
Euc. 13.Prop.15	13.prop.15	211r			420	
Euc. 13.Prop.16	13.prop.16	211v			421	
Euc. 13.Prop.17	13.prop.17	213r			424	
Euc. 13.Prop.18	13.prop.18	214v			427	
