MS URN	Description	Print Location	Online Location
urn:cite:ogl:london_arundel339	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_harley3595	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_lansdowne842b	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_royal10avii	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_royal15axxvii	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_royal15biv	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_sloane1044	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_sloane285	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_add47679	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_royalsociety28	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:london_schoyen1800	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:lüneburg_miscd48	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:madrid_102	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:madrid_8989	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:madrid_9088	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:melk_781	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:milan_c241inf	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:milan_d186inf	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:milan_afix51	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:milan_a3sup	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:milan_m28sup	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:modena_lat567	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:moscow_c2145	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
