Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 6.Prop.5	6.prop.	71	http://digital.slub-dresden.de/en/workview/dlf/7154/85/0/			
Euc. 6.Prop.6	6.prop.	71	http://digital.slub-dresden.de/en/workview/dlf/7154/85/0/			
Euc. 6.Prop.7	6.prop.	72	http://digital.slub-dresden.de/en/workview/dlf/7154/86/0/			
Euc. 6.Prop.8	6.prop.	73	http://digital.slub-dresden.de/en/workview/dlf/7154/87/0/			
Euc. 6.Prop.9	6.prop.	73	http://digital.slub-dresden.de/en/workview/dlf/7154/87/0/			
Euc. 6.Prop.10	6.prop.	73	http://digital.slub-dresden.de/en/workview/dlf/7154/87/0/			
Euc. 6.Prop.11	6.prop.	74	http://digital.slub-dresden.de/en/workview/dlf/7154/88/0/			
Euc. 6.Prop.12	6.prop.	74	http://digital.slub-dresden.de/en/workview/dlf/7154/88/0/			
Euc. 6.Prop.13	6.prop.	74	http://digital.slub-dresden.de/en/workview/dlf/7154/88/0/			
Euc. 6.Prop.14	6.prop.	74	http://digital.slub-dresden.de/en/workview/dlf/7154/88/0/			
Euc. 6.Prop.14	6.prop.	75	http://digital.slub-dresden.de/en/workview/dlf/7154/89/0/			
Euc. 6.Prop.15	6.prop.	75	http://digital.slub-dresden.de/en/workview/dlf/7154/89/0/			
Euc. 6.Prop.16	6.prop.	75	http://digital.slub-dresden.de/en/workview/dlf/7154/89/0/			
Euc. 6.Prop.16	6.prop.	76	http://digital.slub-dresden.de/en/workview/dlf/7154/90/0/			
Euc. 6.Prop.17	6.prop.	76	http://digital.slub-dresden.de/en/workview/dlf/7154/90/0/			
Euc. 6.Prop.18	6.prop.	77	http://digital.slub-dresden.de/en/workview/dlf/7154/91/0/			
Euc. 6.Prop.19	6.prop.	77	http://digital.slub-dresden.de/en/workview/dlf/7154/91/0/			
Euc. 6.Prop.20	6.prop.	78	http://digital.slub-dresden.de/en/workview/dlf/7154/92/0/			
Euc. 6.Prop.21	6.prop.	79	http://digital.slub-dresden.de/en/workview/dlf/7154/93/0/			
Euc. 6.Prop.22	6.prop.	80	http://digital.slub-dresden.de/en/workview/dlf/7154/94/0/			
Euc. 6.Prop.23	6.prop.	80	http://digital.slub-dresden.de/en/workview/dlf/7154/94/0/			
Euc. 6.Prop.24	6.prop.	81	http://digital.slub-dresden.de/en/workview/dlf/7154/95/0/			
Euc. 6.Prop.25	6.prop.	82	http://digital.slub-dresden.de/en/workview/dlf/7154/96/0/			
Euc. 6.Prop.26	6.prop.	82	http://digital.slub-dresden.de/en/workview/dlf/7154/96/0/			
Euc. 6.Prop.27	6.prop.	82	http://digital.slub-dresden.de/en/workview/dlf/7154/96/0/			
Euc. 6.Prop.28	6.prop.	83	http://digital.slub-dresden.de/en/workview/dlf/7154/97/0/			
