MS URN	Shelfmark to Use	Form	Language	Date	Includes	Translator	Collection	Library	Institution	City	Folios	Digital Status	Copyright	Copyright Link	Repository	Link to Digitized Version
urn:cite:ogl:london_royal15axxvii	Royal MS 15 A XXVII	Manuscript	Latin	1100-1200 CE	1-15(selections)	Adelard II	Western Manuscripts	British Library		London	1r-47v	Not digitized			BL Catalogue	
urn:cite:ogl:london_royal15biv	Royal MS 15 B IV 	Manuscript	Latin	1100-1300 CE	10.prop.92-12.prop.3(proofs only)	Adelard II	Western Manuscripts	British Library		London	154r-157v	Not digitized			BL Catalogue	
urn:cite:ogl:london_royal15biv	Royal MS 15 B IV 	Manuscript	Latin	1100-1300 CE	10.prop.91-11.prop.37	Adelard III	Western Manuscripts	British Library		London	158r-167v	Not digitized			BL Catalogue	
urn:cite:ogl:london_sloane1025	Sloane MS 1025	Manuscript	Latin	1600-1700 CE			Western Manuscripts	British Library		London		Not digitized			BL Catalogue	
urn:cite:ogl:london_sloane1044	Sloane MS 1044	Folio	Latin	1300-1400 CE	11.prop.31-36	Adelard II	Western Manuscripts	British Library		London	80r-80v	Not digitized			BL Catalogue	
urn:cite:ogl:london_sloane1405	Sloane MS 1405	Manuscript	Latin	1600-1700 CE		Henry Coley	Western Manuscripts	British Library		London		Not digitized			BL Catalogue	
urn:cite:ogl:london_sloane1440	Sloane MS 1440	Manuscript	French	1700-1800 CE			Western Manuscripts	British Library		London	12r-19v	Not digitized			BL Catalogue	
urn:cite:ogl:london_sloane1478	Sloane MS 1478	Manuscript	Latin	1600-1700 CE		Campanus de Novara	Western Manuscripts	British Library		London	8r-42v	Not digitized			BL Catalogue	
urn:cite:ogl:london_sloane2130	Sloane MS 2130	Manuscript	Latin	1600-1700 CE			Western Manuscripts	British Library		London		Not digitized			BL Catalogue	
urn:cite:ogl:london_sloane285	Sloane MS 285	Manuscript	Latin	1300-1400 CE	6.prop.5-15.prop.5	Campanus de Novara	Western Manuscripts	British Library		London	14v-65v	Not digitized			BL Catalogue	
urn:cite:ogl:london_sloane285	Sloane MS 285	Manuscript	Latin	1200-1300 CE	1.def.1-6.prop.4	Adelard II, Adelard I (?)	Western Manuscripts	British Library		London	1r-14v	Not digitized			BL Catalogue	
urn:cite:ogl:london_stowe457	Stowe MS 457	Manuscript		1700 CE			Western Manuscripts	British Library		London		Not digitized			BL Catalogue	
urn:cite:ogl:london_islamic923	IO Islamic 923	Manuscript	Persian	1198 CE	1		Oriental Manuscripts	British Library		London	71v-95r	Not digitized			BL Catalogue	
urn:cite:ogl:london_sloane15	Sloane MS 15	Manuscript		1569 CE			Western Manuscripts	British Library		London		Not digitized			BL Catalogue	
urn:cite:ogl:london_add88942_1_200	Add MS 88942/1/200	Manuscript		1778 CE			Western Manuscripts	British Library		London		Not digitized			BL Catalogue	
urn:cite:ogl:london_add69148	Add MS 69148	Manuscript		1770-1790 CE	1		Western Manuscripts	British Library		London		Not digitized			BL Catalogue	
urn:cite:ogl:london_add47679	Add MS 47679	Manuscript	Latin	1100-1200 CE		Pseudo-Boethius (Geometry I)		The British Library		London	74r-101v	Not digitized				
urn:cite:ogl:london_royalsociety28	MS/28	Manuscript	Latin	1200-1300 CE	1.def.1-15.prop.2	Adelard II		The Royal Society Library		London	1r-74v	Not digitized				
urn:cite:ogl:london_schoyen1800	MS 1800	Manuscript	Latin	850-900 CE		Boethius (Cassiodorus)	The Schøyen Collection (The Phillips Collection)			London/Oslo		Not digitized				
urn:cite:ogl:lucca_miscel2233	Ms. miscel. n. 2233	Manuscript	Latin	1600-1700 CE	1-2			Bibliotheca Publica		Lucca		Not digitized				
urn:cite:ogl:lüneburg_miscd48	MS Misc. D 4° 48	Manuscript	Latin	1200 CE	1-4	"Mélanges"		Ratsbücherei Lüneburg		Lüneburg	13r-17v	Not digitized				
urn:cite:ogl:madrid_arabe902	MS arabe 902	Manuscript	Arabic					Real Biblioteca de San Lorenzo de El Escorial		Madrid		Not digitized				
urn:cite:ogl:madrid_102	BH MSS 102	Manuscript	Latin	1300-1400 CE		Gerard of Gremona		Biblioteca Histórica Marqués de Valdecilla	Universidad Complutense de Madrid	Madrid	138v-197r	Fully digitized	Public Domain	http://www.europeana.eu/portal/record/92004/BibliographicResource_2000059208304.html	Europeana	http://www.europeana.eu/portal/record/92004/BibliographicResource_2000059208304.html
urn:cite:ogl:madrid_10010	MSS/10010	Manuscript	Latin	1300-1400 CE		Commentary (?)		Biblioteca Nacional de España		Madrid	13v-49v	Fully digitized	El usuario queda expresamente autorizado por la Biblioteca Nacional a visualizar, imprimir, copiar o almacenar cualquier contenido, siempre que ello se efectúe para fines personales y privados del usuario, sin finalidad comercial, de distribución o difusión en línea y sin modificar ni alterar los antedichos contenidos.	http://www.bne.es/en/Catalogos/BibliotecaDigitalHispanica/Pie/AvisoLegal/	Biblioteca Digital Hispánica	http://catalogo.bne.es/uhtbin/cgisirsi/fumdezurqL/BNMADRID/207200043/123
urn:cite:ogl:madrid_5474	MSS/5474	Manuscript	Hebrew	1300-1400 CE		Moses ibn Tibbon		Biblioteca Nacional de España		Madrid	1r-190v	Partially digitized				http://www.bne.es/es/Micrositios/Exposiciones/Biblias/Exposicion/seccion6/Obra2.html?origen=galeria
urn:cite:ogl:madrid_8989	MSS/8989	Manuscript	Latin	1200-1300 CE	1-15	Campanus de Novara		Biblioteca Nacional de España		Madrid	1r-89v	Fully digitized	El usuario queda expresamente autorizado por la Biblioteca Nacional a visualizar, imprimir, copiar o almacenar cualquier contenido, siempre que ello se efectúe para fines personales y privados del usuario, sin finalidad comercial, de distribución o difusión en línea y sin modificar ni alterar los antedichos contenidos.	http://www.bne.es/en/Catalogos/BibliotecaDigitalHispanica/Pie/AvisoLegal/	Biblioteca Digital Hispánica	http://catalogo.bne.es/uhtbin/cgisirsi/0/x/0/05?searchdata1=a4977698
urn:cite:ogl:madrid_9088	MSS/9088	Manuscript	Latin	1100-1200 CE		Pseudo-Boethius (Geometry I)		Biblioteca Nacional de España		Madrid	130r-147v	Fully digitized	El usuario queda expresamente autorizado por la Biblioteca Nacional a visualizar, imprimir, copiar o almacenar cualquier contenido, siempre que ello se efectúe para fines personales y privados del usuario, sin finalidad comercial, de distribución o difusión en línea y sin modificar ni alterar los antedichos contenidos.	http://www.bne.es/en/Catalogos/BibliotecaDigitalHispanica/Pie/AvisoLegal/	Biblioteca Digital Hispánica	http://bdh.bne.es/bnesearch/detalle/bdh0000042034
urn:cite:ogl:madrid_arabe618	MS arabe 618	Manuscript	Arabic					Real Biblioteca de San Lorenzo de El Escorial		Madrid		Not digitized				
urn:cite:ogl:melk_781	Cod. 781	Manuscript	Latin	1400-1500 CE	1	Campanus de Novara		Stiftsbibliothek Melk		Melk	p.1-56	Not digitized				
urn:cite:ogl:milan_c241inf	C 241 inf.	Manuscript	Latin	1401 CE	1-15	Campanus de Novara		Biblioteca Ambrosiana		Milan	33r-124v	Not digitized				
urn:cite:ogl:milan_d186inf	D 186 inf.	Manuscript	Latin	1400-1500 CE	1.def.1-10.prop.109, 13.prop.11-15.prop.5	Gerard of Gremona		Biblioteca Ambrosiana		Milan	1r-107v	Not digitized				
urn:cite:ogl:milan_a101sup	A 101 sup	Manuscript	Greek	1400-1600 CE				Biblioteca Ambrosiana		Milan		Fully digitized	Requires subscription			http://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:64108
urn:cite:ogl:milan_afix51	AF._IX.51	Manuscript	Latin	1400-1500 CE	5.def.1-16	Campanus de Novara		Biblioteca Nazionale Braidense		Milan	63r-65v	Not digitized				
urn:cite:ogl:milan_c311inf	C 311 inf	Manuscript	Greek	1400-1600 CE				Biblioteca Ambrosiana		Milan		Not digitized				
urn:cite:ogl:milan_g61sup	G 61 sup	Manuscript	Greek	1300-1400 CE				Biblioteca Ambrosiana		Milan		Not digitized				
urn:cite:ogl:milan_n289sup	N 289 sup	Manuscript	Greek	1400-1600 CE				Biblioteca Ambrosiana		Milan		Fully digitized	Requires subscription			http://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:80306
urn:cite:ogl:milan_q87sup	Q 87 sup	Manuscript	Greek	1400-1500 CE				Biblioteca Ambrosiana		Milan		Not digitized				
urn:cite:ogl:milan_triv652	Triv.652	Manuscript	Greek	1500-1600 CE				Archivio storico civico e Biblioteca Trivulziana		Milan		Partially digitized	Tutti i diritti sono riservati			http://manus.iccu.sbn.it//opac_SchedaScheda.php?ID=207263
urn:cite:ogl:milan_a3sup	A 3 sup.	Manuscript	Latin	1100-1200 CE		Liber ysagogarum Alchorismi		Biblioteca Ambrosiana		Milan	1r-20v	Not digitized				
urn:cite:ogl:milan_m28sup	M 28 sup.	Manuscript	Latin	1300-1400 CE	3-5	Campanus de Novara		Biblioteca Ambrosiana		Milan	127v-141v	Not digitized				
urn:cite:ogl:modena_ii_e_9	Cod. II. E 9	Manuscript	Greek	1400-1500 CE	1-13			Biblioteca Estense		Modena		Not digitized				
urn:cite:ogl:modena_56	MS 56 (III B 4)	Manuscript	Greek	1400-1500 CE				Biblioteca Estense		Modena		Not digitized				
urn:cite:ogl:modena_alfa_t_8_21	alfa.t.8.21	Manuscript	Greek	1300-1500 CE	1-13			Biblioteca Estense		Modena		Fully digitized	CC BY-NC-ND 3.0		Biblioteca Estense	http://bibliotecaestense.beniculturali.it/info/img/mss/i-mo-beu-alfa.t.8.21.html
urn:cite:ogl:modena_g4_34	G. 4. 34.	Manuscript		1600-1700 CE				Biblioteca Estense		Modena		Not digitized				http://bibliotecaestense.beniculturali.it/info/img/cat/i-mo-beu-cat-campori.pdf
urn:cite:ogl:modena_i7_23	I. 7. 23.	Manuscript		1600-1700 CE				Biblioteca Estense		Modena		Not digitized				http://bibliotecaestense.beniculturali.it/info/img/cat/i-mo-beu-cat-campori.pdf
urn:cite:ogl:modena_lat567	Lat. 567 = alfa.W.8.12	Manuscript	Latin	1452 CE	1-15	Campanus de Novara		Biblioteca Estense		Modena	1r-179v	Not digitized				
urn:cite:ogl:modena_u1_18	U. 1. 18.	Manuscript		1600-1700 CE				Biblioteca Estense		Modena		Not digitized				http://bibliotecaestense.beniculturali.it/info/img/cat/i-mo-beu-cat-campori.pdf
		Manuscript	Hebrew	1300-1400 CE				Bibliotheca Caenobii Cassinensis		Monte Cassino		Not digitized				
urn:cite:ogl:moscow_c2145	MS C 2145	Manuscript	Arabic	1188 CE		Ishaq-Thabit		Institute of Oriental Manuscripts(Institut vostokovedenija)	Russian Academy of Sciences	Moscow	1r-280v	Not digitized				
urn:cite:ogl:muehlhausen_60_2	MS 60/2	Manuscript	Latin	1300-1500 CE	1-15	Campanus de Novara		Stadtarchiv Mühlhausen		Mühlhausen	121r-190r	Not digitized				
urn:cite:ogl:mumbai_i2	I.2	Manuscript	Arabic	1682 CE			Mumbai Mulla Firuz Collection			Mumbai		Not digitized				
urn:cite:ogl:mumbai_i5	I.5	Manuscript	Arabic				Mumbai Mulla Firuz Collection			Mumbai		Not digitized				
urn:cite:ogl:mumbai_i6	I.6	Manuscript	Arabic		1.def.1-9.prop.29(with lacunae)		Mumbai Mulla Firuz Collection			Mumbai		Not digitized				
urn:cite:ogl:munich_graec427	Cod.graec. 427	Manuscript	Greek	1100-1300 CE				Bayerische Staatsbibliothek		Munich	234r-240v	Fully digitized	CC BY-NC-SA 4.0	http://daten.digitale-sammlungen.de/~db/0002/bsb00021597/images/index.html?id=00021597&fip=eayaewqyztseayaqrsxdsydsdasewqeayasdassdas&no=16&seite=481		http://daten.digitale-sammlungen.de/~db/0002/bsb00021597/images/index.html?id=00021597&fip=eayaewqyztseayaqrsxdsydsdasewqeayasdassdas&no=16&seite=481
urn:cite:ogl:munich_cod165	Cod n. 165	Manuscript	Latin	1400-1500 CE		Campanus de Novara		Bayerische Staatsbibliothek		Munich		Not digitized				
urn:cite:ogl:munich_cod842	Cod n. 842	Manuscript	Latin	1100-1300 CE	1-15			Bayerische Staatsbibliothek		Munich		Not digitized				
urn:cite:ogl:munich_cod1108	Cod n. 1108	Manuscript	Latin	1400-1500 CE	9,11-15			Bayerische Staatsbibliothek		Munich		Not digitized				
urn:cite:ogl:munich_cod1336	Cod n. 1336	Manuscript	Latin	1100-1200 CE				Bayerische Staatsbibliothek		Munich		Not digitized				
urn:cite:ogl:munich_cod1430	Cod n. 1430	Manuscript	Latin	1300-1400 CE		Campanus de Novara		Bayerische Staatsbibliothek		Munich		Not digitized				
urn:cite:ogl:munich_aor5783	A.or. 5783	Manuscript	Turkish	1825 CE	1-6, 11-12			Bayerische Staatsbibliothek		Munich		Fully digitized	CC-BY-SA 3.0		DDB	http://opacplus.bsb-muenchen.de/title/BV036474366
urn:cite:ogl:munich_clm10674	Clm 10674	Manuscript	Latin	1574-1575 CE	1-15			Bayerische Staatsbibliothek		Munich	2r-99v	Not digitized				
urn:cite:ogl:munich_clm11305	Clm 11305	Manuscript	Latin	1300-1400 CE	7-15	Campanus de Novara		Bayerische Staatsbibliothek		Munich	1r-79v	Not digitized				
urn:cite:ogl:munich_clm13021	Clm 13021	Manuscript	Latin	1150-1200 CE		Pseudo-Boethius (Geometry II)		Bayerische Staatsbibliothek		Munich	194r-202v	Fully digitized	CC BY-NC-SA 4.0	http://daten.digitale-sammlungen.de/0004/bsb00047475/images/index.html?fip=193.174.98.30&id=00047475&seite=393	BSB	http://daten.digitale-sammlungen.de/0004/bsb00047475/images/index.html?fip=193.174.98.30&id=00047475&seite=393
urn:cite:ogl:munich_clm13021	Clm 13021	Manuscript	Latin	1150-1200 CE		Liber ysagogarum Alchorismi		Bayerische Staatsbibliothek		Munich	27r-31v	Fully digitized	CC BY-NC-SA 4.0	http://daten.digitale-sammlungen.de/0004/bsb00047475/images/index.html?fip=193.174.98.30&id=00047475&seite=393	BSB	http://daten.digitale-sammlungen.de/0004/bsb00047475/images/index.html?fip=193.174.98.30&id=00047475&seite=393
